nms_sigma,pre_nms_topk,max_seg_num,mAP_all,mAP_overlap,mAP_non_overlap,overlap_ratio,time_s
0.62,5000,5000,0.6908922177087591,0.20762936229090348,0.4379927688069663,0.14949374627754616,107.74205589294434
0.62,6000,2000,0.6908549626125955,0.20762147380061644,0.4379653841864027,0.14949374627754616,71.81185483932495
0.62,6000,3000,0.690879553204457,0.20763047366574097,0.43797962300141624,0.14949374627754616,86.71269083023071
0.62,6000,4000,0.6908837575472419,0.2076286329371008,0.43798434923048984,0.14949374627754616,98.93043351173401
0.62,6000,5000,0.6908908586125342,0.20762768238502255,0.43799091683799035,0.14949374627754616,107.92830348014832
0.65,2000,2000,0.6907325692064422,0.20754404186126224,0.4381031804265674,0.14949374627754616,65.97433924674988
0.65,2000,3000,0.6907618258680162,0.20755239541166276,0.43811649281262743,0.14949374627754616,81.65657186508179
0.65,2000,4000,0.6907769757081644,0.20755289860484472,0.4381274393096614,0.14949374627754616,95.68298506736755
0.65,2000,5000,0.6907827958699198,0.20755264899167294,0.4381333218343255,0.14949374627754616,104.23121523857117
0.65,3000,2000,0.6907264635742357,0.2075414966791816,0.4381119336592258,0.14949374627754616,67.82373809814453
0.65,3000,3000,0.6907504541198344,0.207549289599641,0.43812608227098604,0.14949374627754616,83.61712145805359
0.65,3000,4000,0.690759939951864,0.20754999932831666,0.4381314449962187,0.14949374627754616,95.76967024803162
0.65,3000,5000,0.6907684431744491,0.20755104932350948,0.43813950923643297,0.14949374627754616,107.53289604187012
0.65,4000,2000,0.6907259316068969,0.20754150401080312,0.4381117060737319,0.14949374627754616,69.61072039604187
0.65,4000,3000,0.6907522670502309,0.2075557748886155,0.4381233027662219,0.14949374627754616,85.38867259025574
0.65,4000,4000,0.6907574227980106,0.20755349227366698,0.4381277056184295,0.14949374627754616,97.17247867584229
0.65,4000,5000,0.6907644080249318,0.20755314646259385,0.438137081955645,0.14949374627754616,108.52740550041199
0.65,5000,2000,0.690725932838703,0.2075415019071946,0.4381117075838379,0.14949374627754616,71.4364857673645
0.65,5000,3000,0.690750360407663,0.20755576902282397,0.4381232981304617,0.14949374627754616,87.12494778633118
0.65,5000,4000,0.6907558305529832,0.20755327523389377,0.4381276215434484,0.14949374627754616,98.1330988407135
0.65,5000,5000,0.6907610857466016,0.20755178572897076,0.43813501685815137,0.14949374627754616,109.34534621238708
0.65,6000,2000,0.6907259326143803,0.20754150401080312,0.4381117073417962,0.14949374627754616,72.92730355262756
0.65,6000,3000,0.690749501881966,0.20755230302512656,0.43812267926377224,0.14949374627754616,87.9115879535675
0.65,6000,4000,0.6907545574603607,0.20755155843101294,0.4381273304518736,0.14949374627754616,100.92601656913757
0.65,6000,5000,0.6907605888957826,0.2075501444209738,0.43813398753642907,0.14949374627754616,109.82553958892822
0.7,2000,2000,0.6903062199846278,0.20727673273317002,0.43806758769802184,0.14949374627754616,67.35828924179077
0.7,2000,3000,0.6903356788413697,0.20728557437211675,0.438078114424788,0.14949374627754616,83.65956473350525
0.7,2000,4000,0.6903526070348358,0.2072858157174562,0.43809107061694075,0.14949374627754616,97.22228693962097
0.7,2000,5000,0.6903605914892775,0.20728559630308033,0.43809808286834323,0.14949374627754616,107.51568627357483
0.7,3000,2000,0.6902977765383415,0.20727590032804377,0.43807276663563643,0.14949374627754616,68.97534489631653
